data,Brasília,Campo Grande,Cuiabá,Goiânia,Belo Horizonte,Rio de Janeiro,São Paulo,Vitória,Curitiba,Florianópolis,Porto Alegre,Belém,Boa Vista,Macapá,Manaus,Palmas,Porto Velho,Rio Branco,Aracaju,Fortaleza,João Pessoa,Maceió,Natal,Recife,Salvador,São Luís,Teresina,Macaé
06-2014,324.07,309.09,NA,295.12,319.84,343.44,354.63,345.98,332.3,353.76,351.36,318.46,NA,NA,332.15,NA,NA,NA,247.64,298.01,281.7,NA,292.49,307.44,278.97,NA,NA,277.78
07-2014,300.86,293.55,NA,280.93,308.35,330.22,345.42,330.71,308.66,346.99,330.69,308.37,NA,NA,326.85,NA,NA,NA,239.72,287.19,270.6,NA,277.07,296.16,270.06,NA,NA,272.82
08-2014,297.27,288.28,NA,276.18,303.5,327.64,337.8,329.13,303.28,340.62,325.64,301.52,NA,NA,301.72,NA,NA,NA,230.52,278.68,268.87,NA,270.57,290.97,266.34,NA,NA,278.12
09-2014,300.54,285.02,NA,279.95,303.54,326.78,333.12,328.33,301.08,340.76,327.65,298.68,NA,NA,302.49,NA,NA,NA,233.18,277.37,268.56,NA,267.39,285.18,263.63,NA,NA,278.17
10-2014,303.28,296.22,NA,287.46,307.5,336.1,341.04,329.19,314.25,353.18,340.63,298.64,NA,NA,306.69,NA,NA,NA,232.82,277.6,266.47,NA,265.27,280.88,257.8,NA,NA,281.53
11-2014,321.05,303.69,NA,295.79,309.56,325.91,347.96,331.34,319.26,346.61,342.62,302.28,NA,NA,311.42,NA,NA,NA,241.72,280.59,264.99,NA,258.93,274.44,255.72,NA,NA,280.99
12-2014,329.66,308.32,NA,301.21,316.06,338.03,354.19,333.15,315.84,353.1,348.56,307.63,NA,NA,320.7,NA,NA,NA,245.7,280.39,272.02,NA,268.71,286.39,267.82,NA,NA,308.26
01-2015,353.6,329.58,NA,323.73,337.57,353.51,371.22,348.3,335.82,360.64,361.11,310.78,NA,NA,317.84,NA,NA,NA,264.84,288.99,278.73,NA,277.56,290.43,299.17,NA,NA,326.12
02-2015,355.7,326.43,NA,325.64,341.72,357.27,378.86,354.85,341.64,359.76,353.81,314.89,NA,NA,321.29,NA,NA,NA,264.67,292.23,286.22,NA,289.65,294.93,311.65,NA,NA,328.74
03-2015,351.93,327.67,NA,323.48,343.22,358.68,379.35,363.62,349.69,358.14,360.01,320.02,NA,NA,337.11,NA,NA,NA,273.21,304.59,288.43,NA,289.21,298.6,302.97,NA,NA,328.15
04-2015,358,347.48,NA,327.69,348.36,374.85,387.05,376.46,359.39,368.32,368.97,322.81,NA,NA,331.28,NA,NA,NA,281.61,316.2,299.9,NA,300.73,307.46,314.44,NA,NA,333.67
05-2015,370.23,364.35,NA,347.03,355.92,395.23,402.05,387.92,364.8,394.29,384.57,338.92,NA,NA,343.78,NA,NA,NA,277.16,344.3,303.8,NA,312.41,331.23,348.04,NA,NA,349.62
06-2015,359.61,349.8,NA,329.65,338.76,368.71,392.77,367.94,359.69,386.1,384.13,356.24,NA,NA,352.35,NA,NA,NA,275.42,325.4,309.48,NA,302.76,318.53,320.03,NA,NA,328.42
07-2015,354.94,347.08,NA,327.47,345.02,372.24,395.83,368.01,360.28,376.69,383.22,339.27,NA,NA,340.84,NA,NA,NA,285.44,332.82,306.53,NA,293.58,309.38,317.9,NA,NA,339.22
08-2015,342.66,338.79,NA,320.69,337.42,360.23,386.04,358,354.94,372.79,387.83,334.45,NA,NA,340.59,NA,NA,NA,283.02,317.52,307.39,NA,286.36,309.42,305.11,NA,NA,325.9
09-2015,338.28,336.69,NA,311.2,338.19,362.9,383.21,361.54,356.51,383.1,385.7,319.2,NA,NA,335.73,NA,NA,NA,280.26,305.2,299.65,NA,282.72,298.58,297.07,NA,NA,324.69
10-2015,345.38,339.2,NA,310.73,338.61,359.66,382.13,357.3,349.93,378.45,380.8,321.72,NA,NA,337.42,NA,NA,NA,282.87,306.23,298.17,NA,285.47,297.78,297.83,NA,NA,321.06
11-2015,377.24,368.59,NA,321.85,362.19,385.8,399.21,378.91,375.26,391.85,404.62,325.69,NA,NA,352.87,NA,NA,NA,291.8,317.86,310.15,NA,302.14,323.15,323.23,NA,NA,337.45
12-2015,392.93,378.55,NA,335.87,376.91,394.21,412.12,384.99,387.79,414.12,418.82,351.38,NA,NA,357.29,NA,NA,NA,296.82,335.59,316.82,NA,309.92,327.82,331.2,NA,NA,345.84
12-2015 (1),398.65,388.47,390.88,335.58,370.49,397.91,418.13,389.02,391.78,424.06,424.39,351.94,363.9,341.77,367.79,346.02,347.47,310.96,305.75,342.72,324.73,324.44,312.46,333.84,314.23,327.49,343.59,354.05
01-2016,451.76,412.61,423,388.45,417.72,448.06,448.31,438.42,398.46,437.24,432.64,374.5,389.93,354.21,405.72,395.31,365.79,341.53,350.73,368.64,349.75,337.32,329.2,344.47,349.26,351.17,375.05,396.39
02-2016,438.69,387.87,402.57,371.8,400.29,430.56,443.4,401.38,392.75,430.69,416.82,406.86,403.83,385.85,437.86,364.49,359.68,349.22,362.09,387.63,360.66,347.38,331.79,349.96,337.84,355.29,377.93,388.93
03-2016,444.74,394.04,407.72,378.45,408.84,440.79,444.11,418.18,400.78,441.06,420.9,413.87,375.37,372.52,381.52,376.93,354.29,342.66,349.32,386.3,351.88,342.55,325.98,347.21,348.71,356.56,385.8,378.92
04-2016,427.68,402.89,402.29,382.16,399.24,433.96,442.42,414.26,396.34,438.56,426.93,412.51,384.82,380.78,383.72,365.75,354.21,343.86,348.24,385.14,365.83,349.78,334.49,358.55,344.29,357.11,378.21,372.31
05-2016,441.6,401.63,410.09,385.24,408.5,436.02,449.7,418.96,410.05,420.63,443.46,402.97,396.88,378.35,386.08,369.86,360.81,335.31,344.83,375.13,361.39,357.19,337.49,353.78,354.12,360.12,375.64,379.38
06-2016,448.4,428.73,430.78,421.46,425.82,439.33,469.02,428.69,416.49,463.24,465.03,419.28,409.97,387.44,384,392.05,390.22,358.88,376.73,386.78,366.06,368.19,352.12,365.79,365.77,368.49,395.69,397.22
07-2016,447.36,430.37,442.5,424.47,423.1,448.28,475.27,436.24,420.24,443.11,468.78,416.75,442.83,393.72,404.22,404.27,388.05,371.94,379.29,403.38,387.24,384.75,362.63,374.54,380.03,384.63,400.27,382.05
08-2016,451.29,440.86,453.1,411.12,429.64,455.45,475.11,436.53,431.14,457.11,474.34,421.33,441.6,405.18,401.5,410.84,395.84,377.16,370.7,410.11,385.83,396.72,365.46,371.6,376.45,386.2,399.73,418.16
09-2016,461.99,432.27,453.65,393.39,421.55,451.58,471.57,435.27,424.87,449.05,477.69,424.43,444.04,384.2,401.44,411.86,389.22,372.13,372.29,415.94,386.92,394.75,367.54,375.55,381.93,383.04,402.34,413.2
10-2016,436.85,436.51,452.62,389.44,418.47,456.44,469.55,449.16,432.98,475.32,478.07,425.03,441.05,379.32,409.88,404.6,397.71,379.34,378.17,415.41,385.5,403.12,366.9,372.07,375.6,386.41,395.21,410.67
11-2016,436.68,425.78,431.46,387.56,400.9,448.73,450.39,438.85,421.37,466.25,469.04,415.86,408.63,379.82,394.21,390.48,387.71,380.74,368.52,406.52,370.65,398.9,354.59,353.08,358.77,371.42,383.52,404.92
12-2016,433.74,408.06,426.22,386.84,394.66,443.75,438.89,426.32,409.86,453.8,459.02,410.71,395.69,370.27,395.08,383.09,377.69,384.44,349.68,394.19,366.16,391.56,351.96,347.96,355.15,356.07,378.95,395.22
01-2017,432.65,393.25,408.51,385.84,389.69,440.16,435.89,422.38,397.69,441.92,453.67,406.4,380.09,365.41,395.79,377.72,373.43,335.15,357.32,412.48,368.95,391.26,349.61,346.44,359.75,353.97,381.12,391.84
02-2017,416.59,385.38,394.45,380.18,377.66,424.55,426.22,414.03,387.27,434.13,435.51,395.57,367.34,358.78,375.44,370,365.89,330.58,344.72,401.91,364.75,371.31,351.68,344.06,349.4,354.45,376.48,387.68
03-2017,415.39,391.95,389.94,388.31,385.57,431.31,435.34,415.75,389.52,433.7,437.22,394.21,371.49,362.13,371.93,373.56,372.96,323.34,351.81,408.83,374.18,369.33,364.12,356.21,349.66,364.28,391.15,388.74
04-2017,427.37,402.19,411.41,388.83,397.36,448.51,446.28,431.54,404.55,453.54,464.19,398.12,388.99,368.29,373.98,392.85,383.96,333.18,363.87,423.08,382.52,374.63,368.86,368.74,366.63,365.57,397.3,396.17
05-2017,422.53,395.11,402.52,392.72,390.6,442.56,458.93,422.03,403.51,446.52,460.65,402.76,387.98,369.38,374.92,376.15,385.76,333.15,371,404.5,383.81,377.51,364.97,379.39,351.31,364.8,397.38,392.88
06-2017,404.88,386.68,395.23,390.1,374.87,420.35,441.61,404.54,394.49,432.4,443.66,393.01,383.99,370.95,368.09,362.85,381.14,333.35,365.55,408.49,369.78,373.67,354.32,373.84,350.22,365.52,389.39,388.69
07-2017,405.4,382.17,395.04,386.67,383.69,425.62,445.83,409.51,399,439.87,453.56,388.67,372.23,365.49,361.44,369.41,385.17,332.06,364.27,400.67,361.41,371.38,358.15,361.65,357.28,367.59,382.63,380.57
08-2017,396.54,355.09,375.96,386.81,365.05,410.43,431.66,397.89,385.11,426.3,445.76,375.82,377.45,359.61,357.97,NA,376.84,NA,353.85,389.35,351.08,374.75,336.12,340.54,332.1,352.36,NA,373.19
09-2017,383.03,359.24,366.94,372.99,361.82,410.27,421.02,391.76,376.46,419.17,436.68,369.89,NA,NA,355.47,NA,NA,NA,344.16,370.46,334.86,355.2,323.9,328.63,318.52,338.38,NA,369.93
10-2017,388.78,368.83,379.74,362.58,365.89,421.05,428.13,393.71,388.06,416.41,446.87,367.03,NA,NA,349.19,NA,NA,NA,340.37,367.61,330.38,346.26,325.09,325.96,318.31,337.37,NA,369.49
11-2017,380.52,364.33,375.6,361.96,359.71,407.37,423.23,387.93,381.26,415,444.16,358.74,NA,NA,345.66,NA,NA,NA,341.09,363.92,324.9,347.77,328.21,327.85,315.98,333.14,NA,370.11
12-2017,379.77,366.26,376.71,360.7,361.61,418.71,424.36,385.19,374.94,418.61,426.74,356.67,NA,NA,347.47,NA,NA,NA,340.02,367.45,329.52,349.4,331.18,332.15,316.65,334.13,NA,362.38
01-2018,416.5,384.26,403.35,362.23,380.02,443.81,439.2,417.73,399.72,430.52,446.69,366.99,NA,NA,356.48,NA,NA,NA,349.97,387.61,368.76,NA,360.48,356.47,333.98,355.22,NA,NA
02-2018,408.68,372.79,395.03,364.01,381.9,438.36,437.33,410.84,392.91,425.05,434.5,379.36,NA,NA,357.05,NA,NA,NA,341.59,395.47,354.15,NA,348.96,356.06,336.59,356.74,NA,376.2
03-2018,404.6,382.47,398.54,360.43,378.13,441.19,437.84,410.59,401.65,426.79,434.7,367.06,NA,NA,358.28,NA,NA,NA,339.77,389,349.83,NA,343.26,342.46,322.88,353.16,NA,NA
04-2018,402.31,378.4,391.56,365.81,376.58,440.06,434.8,409.8,394.07,426.73,430.29,366.19,NA,NA,360.65,NA,NA,NA,342.39,378.98,335.77,NA,337.67,333.11,325.42,345.33,NA,NA
05-2018,404.65,398.14,395.49,366.65,375.11,446.03,441.16,409.95,397.17,441.62,437.73,367.56,NA,NA,357.71,NA,NA,NA,349.29,390.79,346.42,NA,341.18,336.36,327.56,349.98,NA,NA
06-2018,413.02,380.18,425.32,365.81,373.92,445.58,451.63,413.73,412.44,425.3,452.81,381.65,NA,NA,367.89,NA,NA,NA,349.55,392.35,349.8,NA,351.11,355.93,333,358.71,NA,368.77
07-2018,390.34,370.59,388.43,366.38,363.28,421.89,437.42,406.43,391.32,415.27,435.02,361.11,NA,NA,355.17,NA,NA,NA,344.89,379.26,347.15,NA,341.09,347.43,321.62,336.67,NA,360.86
08-2018,385.62,364.66,385.61,362.47,357.93,417.05,432.81,395.7,389.15,431.3,419.81,360.3,NA,NA,360.17,NA,NA,NA,344.92,372.89,335.49,NA,335.61,340.14,311.92,329.42,NA,NA
09-2018,390.14,383.77,NA,354.11,358.83,418.48,432.83,395.64,387.39,435.47,423.01,359.51,NA,NA,NA,NA,NA,NA,342.34,367.14,328.99,NA,330.3,332.75,315.86,324.04,NA,NA
10-2018,408.57,396.8,NA,357.72,372.77,443.69,446.02,419.69,406.42,450.35,449.89,361.7,NA,NA,NA,NA,NA,NA,342.5,393.4,334.1,NA,329.9,330.2,331.02,333.36,NA,NA
11-2018,430.82,420.8,NA,368.06,401.9,460.24,471.37,408.55,416.41,454.87,463.09,372.24,NA,NA,NA,NA,NA,NA,349.76,411.66,339.39,NA,332.21,333.5,330.17,354.83,NA,NA
12-2018,435.83,422.88,NA,388.86,408.71,466.75,471.44,403.79,419.05,457.82,464.72,382.31,NA,NA,NA,NA,NA,NA,358.75,397.34,345.21,NA,341.4,340.57,343.82,353.4,NA,NA
01-2019,427.1,414.83,NA,398.23,405.4,460.46,467.65,424.21,401.63,437.55,441.65,384.78,NA,NA,NA,NA,NA,NA,356.56,403.99,360.92,NA,351.83,348.85,353.43,353.85,NA,NA
02-2019,427.54,438.64,NA,416.4,425,464.47,482.4,449.54,414.03,441.89,449.95,383.76,NA,NA,NA,NA,NA,NA,379.61,416.86,378.26,NA,375.58,376.34,362.93,368.82,NA,NA
03-2019,474.94,447.5,NA,433.43,443.26,496.33,509.11,475.84,443.86,474.07,479.53,408.67,NA,NA,NA,NA,NA,NA,385.62,445.12,400.38,NA,399.01,401.35,382.35,395.58,NA,NA
04-2019,487.02,492.55,NA,445.28,456.91,515.58,522.05,498.54,461.91,482.3,499.38,423.17,NA,NA,NA,NA,NA,NA,404.68,459.2,412.27,NA,410.1,417.03,396.75,423.66,NA,NA
05-2019,487.3,423.97,NA,425.35,424.85,492.93,507.07,484.84,451.38,487.93,496.13,418.05,NA,NA,NA,NA,NA,NA,408.16,444.44,403.57,NA,406.07,417.85,392.97,NA,NA,NA
06-2019,454.9,428.33,NA,421.65,429.3,498.67,501.68,485.34,446.54,494.96,498.41,407.67,NA,NA,NA,NA,NA,NA,383.09,448.73,398.72,NA,397.24,396.21,384.76,NA,NA,NA
07-2019,449.27,420.07,NA,420.55,415.03,479.28,493.16,466.93,443.68,483.2,493.22,403.35,NA,NA,NA,NA,NA,NA,359.95,432.96,385.58,NA,381.27,381.1,372.25,NA,NA,NA
08-2019,433.45,408.11,NA,399.4,401.14,462.24,481.44,441.5,441.28,464.24,469.17,393.94,NA,NA,NA,NA,NA,NA,337.96,402.84,367.86,NA,354.44,361.64,350.75,NA,NA,NA
09-2019,420.01,396.98,NA,391.31,390.93,458.21,473.85,429.06,424.81,454.94,458.29,382.11,NA,NA,NA,NA,NA,NA,328.7,384.17,359.62,NA,352.57,367.16,345.04,NA,NA,NA
10-2019,441.91,409.3,NA,395.7,391.85,462.57,473.59,428.25,421.86,458.28,463.24,377.37,NA,NA,NA,NA,NA,NA,325.01,387.18,351.19,NA,341.9,359.55,347.65,NA,NA,NA
11-2019,NA,422.06,NA,400.16,393.58,455.37,465.81,462.06,413.63,478.68,453.82,381.28,NA,NA,NA,NA,NA,NA,325.4,395.82,347.14,NA,347.89,354.64,341.45,NA,NA,NA
12-2019,473.9,450.08,NA,454.75,444.91,516.91,506.5,499.23,458.88,511.7,506.3,414.13,NA,NA,NA,NA,NA,NA,351.97,433.64,373.56,NA,383.76,393.8,360.51,NA,NA,NA
01-2020,483.17,458,NA,455.08,456.35,507.13,517.51,492.2,452.32,489.13,502.98,415.56,NA,NA,NA,NA,NA,NA,368.69,433.39,388.02,NA,389.26,395.93,376.49,NA,NA,NA
02-2020,481.78,445.4,NA,448.62,459.1,505.55,519.76,480.03,447.91,493.15,492.83,432.95,NA,NA,NA,NA,NA,NA,371.22,462.99,403.98,NA,405.88,420.27,395.49,NA,NA,NA
03-2020,484.15,474.53,NA,456.18,461.28,533.65,518.5,504.78,465.47,517.13,497.88,418.8,NA,NA,NA,NA,NA,NA,390.2,475.11,414.05,NA,426,433.28,408.06,NA,NA,NA
04-2020,471.17,495.69,NA,493.21,484.55,544.34,556.25,537.89,511.23,523.8,527.01,434.19,NA,NA,NA,NA,NA,NA,401.37,482.46,437.93,NA,428.28,461.26,425.12,NA,NA,NA
05-2020,441.09,455.35,NA,505.99,484.02,558.81,556.36,536.73,531.27,524.07,518.63,453.36,NA,NA,NA,NA,NA,NA,400.15,455.18,440.25,NA,429.57,451.45,410.33,NA,NA,NA
06-2020,450.45,475.01,NA,480.78,475.19,512.84,547.03,500.01,506.04,516.97,512.4,453.87,NA,NA,NA,NA,NA,NA,420.03,464.31,430.44,NA,442.46,435.3,419.18,NA,NA,NA
07-2020,449.96,479.79,NA,472.86,465.06,505.72,524.74,484.8,526.14,522.03,511.22,440.99,NA,NA,NA,NA,NA,NA,392.75,454.74,417.75,NA,430.66,436.1,415.22,NA,NA,NA
08-2020,443.28,484.46,NA,483.15,478.07,529.76,539.95,509.45,505.54,530.42,528.61,441.51,NA,NA,NA,NA,NA,NA,398.47,462.13,414.5,NA,419.47,439.19,418.72,NA,NA,NA
09-2020,445.76,492.8,NA,510.52,491.62,563.75,563.35,539.36,524.25,582.4,552.86,459.21,NA,NA,NA,NA,NA,NA,427.11,485.75,432.04,NA,422.31,464.31,459.33,NA,NA,NA
10-2020,490.48,520.12,NA,537.61,516.82,592.25,595.87,552.85,521.12,584.76,581.39,468.22,NA,NA,NA,NA,NA,NA,442.26,510.54,449.97,NA,436.76,469.05,454.5,NA,NA,NA
11-2020,572.64,589.08,NA,557.46,552.37,629.63,629.18,606.59,547.29,616.98,617.03,486.5,NA,NA,NA,NA,NA,NA,451.32,539.33,454.85,NA,455.43,462.98,488.1,NA,NA,NA
12-2020,591.82,576.48,NA,563.8,568.53,621.09,631.46,600.28,540.36,615.57,615.66,500.89,NA,NA,NA,NA,NA,NA,453.16,534.96,475.19,NA,458.79,469.39,479.08,NA,NA,567.89
01-2021,614.31,578.62,NA,574.76,592.26,644,654.15,624.62,559.73,651.37,626.25,507.31,NA,NA,NA,NA,NA,NA,450.84,532.97,471.87,NA,454.49,474.22,488.94,NA,NA,NA
02-2021,591.44,551.58,NA,560.67,573.53,629.82,639.47,609.27,572.77,639.81,632.67,512.95,NA,NA,NA,NA,NA,NA,445.9,523.46,484.54,NA,464.43,469.71,479.19,NA,NA,NA
03-2021,580.76,552.99,NA,552.05,555.67,612.56,626,596.91,577.17,632.75,623.37,515.77,NA,NA,NA,NA,NA,NA,468.79,517.05,478.52,NA,477.56,461.33,461.28,NA,NA,NA
04-2021,587.33,586.26,NA,556.27,565.78,622.04,632.61,610.98,583.61,634.53,626.11,505.87,NA,NA,NA,NA,NA,NA,469.66,525.26,490.04,NA,478.23,471.52,457.56,NA,NA,NA
05-2021,588.24,575.01,NA,564.04,NA,622.76,636.4,616.96,608.89,636.37,636.96,515.84,NA,NA,NA,NA,NA,NA,468.43,532.21,491.63,NA,501.7,480.8,470.14,NA,NA,NA
06-2021,584.99,566.78,NA,551.49,532.01,619.24,626.76,611.29,618.57,645.38,642.31,518.53,NA,NA,NA,NA,NA,NA,470.97,541.61,495.76,NA,500.2,483.92,467.3,NA,NA,NA
07-2021,582.35,588.84,NA,562.13,549.49,621.34,640.51,612.45,619.83,654.43,656.92,522.66,NA,NA,NA,NA,NA,NA,488.42,562.82,492.3,NA,506.51,487.6,482.58,NA,NA,NA
08-2021,594.59,609.33,NA,565.4,562.95,634.18,650.5,618.96,600.47,659,664.67,530.13,NA,NA,NA,NA,NA,NA,456.4,552.24,490.93,NA,508.04,491.46,485.44,NA,NA,NA
09-2021,617.65,630.83,NA,574.08,582.61,643.06,673.45,633.03,610.85,662.85,672.39,532.56,NA,NA,NA,NA,NA,NA,454.03,552.09,476.63,NA,493.29,489.4,478.86,NA,NA,NA
10-2021,644.09,653.4,NA,591.78,598.79,673.85,693.79,670.99,639.89,700.69,691.08,538.44,NA,NA,NA,NA,NA,NA,464.17,563.96,491.12,NA,504.66,485.26,487.59,NA,NA,NA
11-2021,631.95,645.17,NA,599.64,594.97,665.6,692.27,668.17,638.96,710.53,685.32,550.64,NA,NA,NA,NA,NA,NA,473.26,580.36,508.91,NA,521.08,524.73,505.94,NA,NA,NA
12-2021,621.56,641.37,NA,597.24,605.16,666.26,690.51,662.01,628.46,689.56,682.9,556.87,NA,NA,NA,NA,NA,NA,478.05,579.06,510.82,NA,529.54,532.37,518.21,NA,NA,NA
01-2022,661.09,660.11,NA,624.91,632.83,692.83,713.86,677.54,636.57,695.59,673,563.97,NA,NA,NA,NA,NA,NA,507.82,607.35,538.65,NA,551.06,543.1,540.01,NA,NA,NA
02-2022,670.98,678.43,NA,641.09,642.01,697.37,715.65,682.54,652.9,707.56,695.91,574.86,NA,NA,NA,NA,NA,NA,516.82,609.6,549.33,NA,557.2,549.2,552.3,NA,NA,NA
03-2022,704.65,715.81,NA,663.48,669.47,750.71,761.19,704.93,701.59,745.47,734.28,585.91,NA,NA,NA,NA,NA,NA,524.99,635.02,567.84,NA,575.33,561.57,560.39,NA,NA,NA
04-2022,741.55,761.73,NA,682.87,693.41,768.42,803.99,729.31,739.28,788,780.86,610.31,NA,NA,NA,NA,NA,NA,551.47,647.63,573.7,NA,595.37,582.74,575.84,NA,NA,NA
05-2022,696.34,706.12,NA,674.63,653.12,723.55,777.93,698.24,713.68,772.07,768.76,628.58,NA,NA,NA,NA,NA,NA,548.38,628.46,567.67,NA,586.42,595.89,578.88,NA,NA,NA
06-2022,698.36,702.65,NA,674.08,648.77,733.14,777.01,692.84,701.26,760.41,754.19,632.26,NA,NA,NA,NA,NA,NA,549.91,657,586.73,NA,611.79,612.34,580.82,NA,NA,NA
07-2022,703.93,707,NA,672.91,652.07,723.75,760.45,700.75,688.78,753.73,752.84,633.14,NA,NA,NA,NA,NA,NA,542.5,641.46,572.63,NA,587.58,616.63,586.54,NA,NA,NA
08-2022,689.31,698.31,NA,660.83,638.19,717.82,749.78,697.39,685.69,746.21,748.06,634.85,NA,NA,NA,NA,NA,NA,539.57,626.98,568.21,NA,580.74,598.14,576.93,NA,NA,NA
09-2022,687.21,711.09,NA,658.7,650.16,714.14,750.74,686.26,678.73,746.55,743.94,622.46,NA,NA,NA,NA,NA,NA,518.68,620.87,562.32,NA,581.53,580.01,560.31,NA,NA,NA
10-2022,699.09,733.65,NA,675.79,662.37,736.28,762.2,707.78,696.31,753.82,768.82,615.22,NA,NA,NA,NA,NA,NA,515.51,622.57,559.57,NA,573.4,558.4,562.59,NA,NA,NA
11-2022,712.2,738.53,NA,689.49,693.37,749.25,782.68,713.57,709.84,776.14,781.52,624.29,NA,NA,NA,NA,NA,NA,511.97,630.67,552.43,NA,566.95,551.3,550.67,NA,NA,NA
12-2022,728.78,744.21,NA,704.63,696.32,752.74,791.29,728.78,698.66,769.19,765.63,639.44,NA,NA,NA,NA,NA,NA,521.05,653.99,561.84,NA,584.36,565.09,570.7,NA,NA,NA
01-2023,729.73,743.09,NA,710.62,707.93,770.19,790.57,726.23,695.18,760.65,757.33,654.81,NA,NA,NA,NA,NA,NA,555.28,679.81,600.06,NA,622.16,608.1,594.83,NA,NA,NA
02-2023,719.74,719.94,NA,695.18,679.86,745.96,779.38,709.21,678.9,746.95,741.3,662.98,NA,NA,NA,NA,NA,NA,552.97,671.32,600.1,NA,626.15,606.93,596.88,NA,NA,NA
03-2023,693.32,719.15,NA,680.92,654.57,735.62,782.23,699.16,679.76,742.23,746.12,664.54,NA,NA,NA,NA,NA,NA,546.14,647.92,579.57,NA,615.03,578.73,591.4,NA,NA,NA
04-2023,717.09,737.74,NA,704.94,668.96,750.77,794.68,703.9,694.05,769.35,783.55,660.77,NA,NA,NA,NA,NA,NA,553.89,669.79,585.42,NA,605.94,582.26,585.99,NA,NA,NA
05-2023,703.43,724.09,NA,704.89,666.82,749.76,791.82,706.06,703.83,765.13,781.56,669.8,NA,NA,NA,NA,NA,NA,553.76,672.66,580.95,NA,602.16,587.13,594.32,NA,NA,NA
06-2023,687.33,730.19,NA,669.39,656.02,741,783.05,691.34,701.22,771.54,773.56,659.89,NA,NA,NA,NA,NA,NA,567.11,661.16,604.89,NA,632.27,621.14,595.84,NA,NA,NA
07-2023,687.58,698.31,NA,657.71,652.78,738.12,769.95,674.54,690.31,746.66,777.16,650.42,NA,NA,NA,NA,NA,NA,547.22,661.5,581.31,NA,613.64,592.71,596.04,NA,NA,NA
08-2023,689.98,691.7,NA,641.53,646.02,722.78,748.47,660.88,685.13,743.94,760.59,640.11,NA,NA,NA,NA,NA,NA,542.67,642.68,565.07,NA,581.18,580.72,575.81,NA,NA,NA
09-2023,662.2,675.68,NA,630.95,633.78,719.92,734.77,681.91,681.23,747.64,741.71,633.53,NA,NA,NA,NA,NA,NA,532.34,640.48,562.6,NA,598.99,570.2,571.01,NA,NA,NA
10-2023,647.76,682.97,NA,636.07,627.72,721.17,738.13,675.16,675.01,738.77,739.21,632.92,NA,NA,NA,NA,NA,NA,521.96,648.93,554.88,NA,582.12,557.1,563.1,NA,NA,NA
11-2023,667.58,674.79,NA,648.59,639.68,728.27,749.28,675.45,683.44,747.59,739.18,635.18,NA,NA,NA,NA,NA,NA,516.76,639.91,548.33,NA,567.3,551.04,550.86,NA,NA,NA
12-2023,698.74,697.69,NA,669.36,656.29,738.61,761.01,688.86,697.22,758.5,766.53,645.44,NA,NA,NA,NA,NA,NA,517.26,630.38,542.3,NA,556.06,538.08,560.81,NA,NA,NA
01-2024,742.52,736.76,NA,710.7,724.73,791.77,793.39,719.3,726.23,800.31,791.16,656.78,NA,NA,NA,NA,NA,NA,528.48,618.32,559.77,NA,575.71,550.51,593.26,NA,NA,NA
02-2024,741.91,748.2,NA,707.81,727.46,832.8,808.38,731.83,731.5,783.36,796.81,665.12,NA,NA,NA,NA,NA,NA,534.4,627.67,564.5,NA,579.31,559.68,604.3,NA,NA,NA
03-2024,747.68,730.02,NA,703.57,712.51,812.25,813.26,729.34,728.06,791.21,777.43,667.53,NA,NA,NA,NA,NA,NA,555.22,663.22,583.23,NA,605.33,592.19,620.13,NA,NA,NA
04-2024,727.95,732.75,NA,701.01,712.7,801.15,822.84,726.82,726.64,781.53,775.63,681.45,NA,NA,NA,NA,NA,NA,582.11,714.68,614.75,NA,632.23,617.28,640.12,NA,NA,NA
05-2024,737.37,748.48,NA,704.51,693.39,796.67,826.85,723.91,741.46,801.03,801.45,690.98,NA,NA,NA,NA,NA,NA,579.55,709.9,620.67,NA,640.1,618.47,623.05,NA,NA,NA
06-2024,738.93,748.89,NA,711.43,701.55,814.38,832.69,718.43,754.91,816.06,804.86,695.58,NA,NA,NA,NA,NA,NA,561.96,697.33,597.32,NA,599.29,582.9,613.22,NA,NA,NA
